"time","name","x","y","direction","nextX","nextY","nextDirection"
"2.9","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.263081","0.883777","244.39972"
"2.92","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.0423286","1.3533732","285.54007"
"2.92","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.25396","0.8796778","245.79971"
"2.94","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.0327034","1.3560852","285.73608"
"2.94","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.2447412","0.8758026","247.1997"
"2.96","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.023086","1.3588254","285.90408"
"2.96","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.2354307","0.87215376","248.5997"
"2.98","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.0134594","1.3615328","285.70807"
"2.98","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.226034","0.8687335","249.9997"
"3.0","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","3.0038276","1.3642213","285.59607"
"3.0","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.2165563","0.8655439","251.39969"
"3.02","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.994205","1.3669428","285.79208"
"3.02","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.2070036","0.8625868","252.79968"
"3.04","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.9846013","1.36973","286.18408"
"3.04","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.1973815","0.85986394","254.19968"
"3.06","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.974984","1.3724703","285.90408"
"3.06","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.1876957","0.857377","255.59967"
"3.08","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.965372","1.3752294","286.01608"
"3.08","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.177952","0.85512745","256.99966"
"3.1","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.9557629","1.3779979","286.07208"
"3.1","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.1681564","0.85311663","258.39966"
"3.12","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.9461646","1.380804","286.29608"
"3.12","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.1583145","0.8513457","259.79965"
"3.1399999","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.9365773","1.3836474","286.52008"
"3.1399999","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.1484323","0.8498158","261.19965"
"3.1599998","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.9269722","1.38643","286.15607"
"3.1599998","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.1385155","0.8485278","262.59964"
"3.1799998","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.9173863","1.3892782","286.54807"
"3.1799998","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.1285703","0.84748244","263.99963"
"3.2","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.9078088","1.3921545","286.71606"
"3.2","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.1186025","0.8466804","265.39963"
"3.22","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.8982215","1.394998","286.52005"
"3.22","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.108618","0.84612215","266.79962"
"3.24","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.8886356","1.3978461","286.54807"
"3.24","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.098623","0.84580797","268.19962"
"3.26","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.8790498","1.4006943","286.54807"
"3.26","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.0886233","0.8457381","269.5996"
"3.28","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.869464","1.4035424","286.54807"
"3.28","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.0786247","0.8459126","270.9996"
"3.3","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.8598711","1.4063672","286.40805"
"3.3","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.0686336","0.84633124","272.3996"
"3.3200002","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.850277","1.4091872","286.38004"
"3.3200002","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.0586555","0.8469939","273.7996"
"3.3400002","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.840691","1.4120353","286.54803"
"3.3400002","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.0486968","0.84790015","275.1996"
"3.3600001","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.8311038","1.4148788","286.52002"
"3.3600001","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.038763","0.84904945","276.59958"
"3.38","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.8215249","1.4177505","286.68802"
"3.38","Frederik"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.0288603","0.8504411","277.99957"
"3.4","Nille"," - no pose.x value"," - no pose.y value"," - no pose.direction value","2.811939","1.4205986","286.548"
